490000266G,WESTMINSTER STATION <> / PARLIAMENT SQUARE,51.50159701,-0.125988186
490013793E,TREVOR CLOSE,51.46019102,-0.33483092
490000108F,HIGHBURY CORNER,51.54498249,-0.103395032
490000108B,HIGHBURY & ISLINGTON STATION <> #,51.54679446,-0.104228313
490012451S,ST MARY MAGDALENE CHURCH,51.54848227,-0.106840874
490012451N,ST MARY MAGDALENE CHURCH,51.54869757,-0.107365599
490000114Y,HOLLOWAY ROAD STATION <>,51.55208141,-0.111437069
490000114U,HOLLOWAY ROAD STATION <>,51.55288573,-0.112802944
490009485R,LYNWOOD ROAD,51.53115851,-0.300971528
490009485Q,LYNWOOD ROAD,51.53094279,-0.301599505
490003803W,WOOLWICH ROAD / BEDONWELL ROAD,51.48151463,0.132559454
490003803E,WOOLWICH ROAD / BEDONWELL ROAD,51.48156128,0.13048766
490011348E,QUEENS ROAD,51.39908545,-0.250134542
490012751E,ST JOSEPH'S CHURCH,51.39958674,-0.260854326
490012751W,ST JOSEPH'S CHURCH,51.39967314,-0.261828623
490014411W,ELM ROAD / NEW MALDEN BAPTIST CHURCH,51.40093552,-0.266309354
490006079E,ARCHDALE PLACE,51.40457685,-0.277242403
490003361W,CALIFORNIA ROAD,51.4035931,-0.275165909
490014286E,WATERS ROAD,51.40714178,-0.282897366
490004703W,CAMBRIDGE GROVE,51.40889785,-0.286757032
490014039E,VICARAGE HOUSE,51.41008424,-0.291026476
490001237G,RAYNES PARK STATION #,51.40888206,-0.229428664
490012452W,KINGS ROAD,51.46211548,-0.292941625
490012452SH,ST MARY'S GROVE,51.46208344,-0.2913593
490005340K,CLAPTON POND,51.55594457,-0.056156664
3700083,CEDAR WAY,51.49745559,-0.556025528
490009035E,CLAPTON POND,51.55680008,-0.055687409
3700085,DITTON PARK ROAD,51.49481923,-0.550058497
490006047D,CHAPTER ROAD,51.55044362,-0.240943463
490004989C,CHAPTER ROAD,51.55038516,-0.240642822
490013229P,ST JOHN STREET / GOSWELL ROAD,51.53141444,-0.106280281
490013149K,TALLY HO CORNER,51.61371862,-0.177040232
490000127KA,KILBURN PARK STATION <>,51.53550225,-0.193273794
490000127KB,KILBURN PARK STATION <>,51.53469043,-0.193695244
490013254J,FAIRLAWN AVENUE,51.58890198,-0.163915479
490010117W,MULGRAVE ROAD,51.4842218,-0.20580096
490007053E,FULHAM POOLS,51.48384907,-0.207889569
490010101S,THIRLMERE GARDENS,51.61610518,-0.442070069
490003351Q,QUEEN'S GROVE,51.53685159,-0.176450582
490007622M,GLYN ROAD,51.5488092,-0.03968635
490007622L,GLYN ROAD,51.54885943,-0.040001507
490011336S,QUEEN'S GROVE,51.53683813,-0.176162731
490001197A,MORDEN SOUTH STATION #,51.39675106,-0.200499734
490001197B,MORDEN SOUTH STATION #,51.39587665,-0.200361547
490004960N,CHALGROVE AVENUE,51.39526216,-0.201923765
490004647E,BUSHEY ROAD / GRAND DRIVE,51.40719401,-0.230787931
490004647N,BUSHEY ROAD,51.40620319,-0.229489001
490004647S,BUSHEY ROAD,51.40555307,-0.229312818
490009036S,LEA BRIDGE ROAD,51.57086787,-0.025735659
490013205W,THAMES AVENUE,51.52671022,0.162653934
